model,code,math,qa,reasoning,creative,summary,translation,aggregated_quality,aggregated_quality_raw
deepseek_8b_ol_q4km,0.25293902872323965,0.4329732700046326,1.3256602111757236,0.9504811053868567,-0.6273380726374977,-0.4582941368531509,3.202389402068131,0.7255444011239907,0.7255444011239907
gemma_2b_hf_4bit,0.3978850432914807,-1.7779387564727998,-1.787497495161415,-1.9276139527282368,-1.2951587382988423,-1.0318174815569685,-0.3079940963113669,-1.1043050681768782,-1.1043050681768782
gemma_2b_hf_8bit,-0.48298818093590545,-1.766258117040929,-2.041574063938947,-1.9159650924316303,-0.9067829854175252,0.30884403854137465,-0.3348267592473217,-1.019935880067269,-1.019935880067269
gemma_4b_ol_q4km,3.79575172248501,0.08540392877694408,-0.03737652968864688,0.5826373824294651,-0.88639466484373,-0.5488406299460585,-0.44091947554509237,0.36432310480969876,0.36432310480969876
phi3_4b_hf_4bit,-1.5060412971639807,-0.40636628004080555,0.3646610977536682,-0.07671433993593517,-0.7615165057125206,-0.9836632006213758,0.29536218992684904,-0.43918261939915726,-0.43918261939915726
phi3_4b_hf_8bit,-1.5361865100123984,-0.22540443565107596,0.37285800919214446,-0.282220931460757,-1.0628197905611794,-1.090203911577484,-0.09840823844342142,-0.5603408297877387,-0.5603408297877387
qwen25_3b_hf_4bit,0.9747574630949375,1.393327677591025,-0.1642949717340009,1.110851441178674,1.9985456222890898,2.2549343028771194,-0.41748259699275736,1.0215198483291554,1.0215198483291554
qwen25_3b_hf_8bit,0.11423921858114779,1.1256590872355134,0.2523713548686502,-0.12262021447871241,1.5984843606805894,1.5578543692779772,-0.27985615454507884,0.6065902888028696,0.6065902888028696
qwen25_7b_hf_4bit,1.471860424166122,0.6077051411497169,-0.06554138963772345,0.9006566336124385,2.172435409244027,0.17947140927263405,-0.4412320974262024,0.6893365043401446,0.6893365043401446
qwen_4b_ol_q4km,-2.5212617160858897,-0.27762676934042335,0.8698047616570801,0.9116978918072154,0.9965494703627933,0.34531505342812535,-0.6275820308803799,-0.04330047700735412,-0.04330047700735412
qwen_8b_ol_q4km,-0.960955196143763,0.8085252537882017,0.9109290155134663,-0.13118992337937793,-1.226004105105204,-0.5335998128421926,-0.5494501426033594,-0.2402492729674613,-0.2402492729674613
